backbone,task,layer,bits,fold,metric,fp32,value,delta,quant_dir,sec
hubert,asr,5,2,0,WER,0.093756,0.102715,0.008959,quants_1024/GPTQ/quants_tc1024_asr,65
hubert,asr,6,2,0,WER,0.093756,0.109564,0.015808,quants_1024/GPTQ/quants_tc1024_asr,66
hubert,asr,7,2,0,WER,0.093756,0.139017,0.045261,quants_1024/GPTQ/quants_tc1024_asr,66
hubert,asr,8,2,0,WER,0.093756,0.180262,0.086506,quants_1024/GPTQ/quants_tc1024_asr,66
hubert,asr,9,2,0,WER,0.093756,0.158032,0.064276,quants_1024/GPTQ/quants_tc1024_asr,66
hubert,asr,10,2,0,WER,0.093756,0.103204,0.009448,quants_1024/GPTQ/quants_tc1024_asr,66
hubert,asr,11,2,0,WER,0.093756,0.093291,-0.000465,quants_1024/GPTQ/quants_tc1024_asr,64
hubert,ks,0,2,0,KS_ERR,0.02986,0.03408,0.004219,quants_1024/GPTQ/quants_tc1024_ks,23
hubert,ks,1,2,0,KS_ERR,0.02986,0.03051,0.000649,quants_1024/GPTQ/quants_tc1024_ks,23
hubert,ks,2,2,0,KS_ERR,0.02986,0.032132,0.002272,quants_1024/GPTQ/quants_tc1024_ks,23
hubert,ks,3,2,0,KS_ERR,0.02986,0.031483,0.001623,quants_1024/GPTQ/quants_tc1024_ks,23
hubert,ks,4,2,0,KS_ERR,0.02986,0.03408,0.004219,quants_1024/GPTQ/quants_tc1024_ks,23
hubert,ks,5,2,0,KS_ERR,0.02986,0.035054,0.005193,quants_1024/GPTQ/quants_tc1024_ks,23
hubert,ks,6,2,0,KS_ERR,0.02986,0.035054,0.005193,quants_1024/GPTQ/quants_tc1024_ks,23
hubert,ks,7,2,0,KS_ERR,0.02986,0.03408,0.004219,quants_1024/GPTQ/quants_tc1024_ks,23
hubert,ks,8,2,0,KS_ERR,0.02986,0.034404,0.004544,quants_1024/GPTQ/quants_tc1024_ks,24
hubert,ks,9,2,0,KS_ERR,0.02986,0.033106,0.003246,quants_1024/GPTQ/quants_tc1024_ks,23
hubert,ks,10,2,0,KS_ERR,0.02986,0.032457,0.002597,quants_1024/GPTQ/quants_tc1024_ks,23
hubert,ks,11,2,0,KS_ERR,0.02986,0.031483,0.001623,quants_1024/GPTQ/quants_tc1024_ks,23
hubert,ic,0,2,0,IC_ERR,0.029792,0.03111,0.001318,quants_1024/GPTQ/quants_tc1024_ic,32
hubert,ic,1,2,0,IC_ERR,0.029792,0.030319,0.000527,quants_1024/GPTQ/quants_tc1024_ic,33
hubert,ic,2,2,0,IC_ERR,0.029792,0.027946,-0.001846,quants_1024/GPTQ/quants_tc1024_ic,32
hubert,ic,3,2,0,IC_ERR,0.029792,0.031637,0.001846,quants_1024/GPTQ/quants_tc1024_ic,32
hubert,ic,4,2,0,IC_ERR,0.029792,0.035065,0.005273,quants_1024/GPTQ/quants_tc1024_ic,33
hubert,ic,5,2,0,IC_ERR,0.029792,0.034801,0.005009,quants_1024/GPTQ/quants_tc1024_ic,32
hubert,ic,6,2,0,IC_ERR,0.029792,0.052201,0.02241,quants_1024/GPTQ/quants_tc1024_ic,33
hubert,ic,7,2,0,IC_ERR,0.029792,0.063011,0.033219,quants_1024/GPTQ/quants_tc1024_ic,32
hubert,ic,8,2,0,IC_ERR,0.029792,0.048774,0.018982,quants_1024/GPTQ/quants_tc1024_ic,33
hubert,ic,9,2,0,IC_ERR,0.029792,0.041392,0.0116,quants_1024/GPTQ/quants_tc1024_ic,32
hubert,ic,10,2,0,IC_ERR,0.029792,0.040337,0.010546,quants_1024/GPTQ/quants_tc1024_ic,32
hubert,ic,11,2,0,IC_ERR,0.029792,0.035592,0.0058,quants_1024/GPTQ/quants_tc1024_ic,32
hubert,er,0,2,1,ER_ERR,0.40553,0.411982,0.006452,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,1,2,1,ER_ERR,0.40553,0.426728,0.021198,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,2,2,1,ER_ERR,0.40553,0.407373,0.001843,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,3,2,1,ER_ERR,0.40553,0.41659,0.01106,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,4,2,1,ER_ERR,0.40553,0.407373,0.001843,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,5,2,1,ER_ERR,0.40553,0.40553,0.0,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,6,2,1,ER_ERR,0.40553,0.43318,0.02765,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,7,2,1,ER_ERR,0.40553,0.415668,0.010138,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,8,2,1,ER_ERR,0.40553,0.413825,0.008295,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,9,2,1,ER_ERR,0.40553,0.430415,0.024885,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,10,2,1,ER_ERR,0.40553,0.429493,0.023963,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,11,2,1,ER_ERR,0.40553,0.4,-0.00553,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,0,2,2,ER_ERR,0.398827,0.423265,0.024438,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,1,2,2,ER_ERR,0.398827,0.410557,0.01173,quants_1024/GPTQ/quants_tc1024_er_fold2,9
hubert,er,2,2,2,ER_ERR,0.398827,0.400782,0.001955,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,3,2,2,ER_ERR,0.398827,0.387097,-0.01173,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,4,2,2,ER_ERR,0.398827,0.415445,0.016618,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,5,2,2,ER_ERR,0.398827,0.423265,0.024438,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,6,2,2,ER_ERR,0.398827,0.406647,0.00782,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,7,2,2,ER_ERR,0.398827,0.42522,0.026393,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,8,2,2,ER_ERR,0.398827,0.416422,0.017595,quants_1024/GPTQ/quants_tc1024_er_fold2,9
hubert,er,9,2,2,ER_ERR,0.398827,0.424242,0.025415,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,10,2,2,ER_ERR,0.398827,0.438905,0.040078,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,11,2,2,ER_ERR,0.398827,0.400782,0.001955,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,0,2,3,ER_ERR,0.397046,0.400521,0.003475,quants_1024/GPTQ/quants_tc1024_er_fold3,10
hubert,er,1,2,3,ER_ERR,0.397046,0.39444,-0.002606,quants_1024/GPTQ/quants_tc1024_er_fold3,10
hubert,er,2,2,3,ER_ERR,0.397046,0.418766,0.02172,quants_1024/GPTQ/quants_tc1024_er_fold3,9
hubert,er,3,2,3,ER_ERR,0.397046,0.410947,0.013901,quants_1024/GPTQ/quants_tc1024_er_fold3,9
hubert,er,4,2,3,ER_ERR,0.397046,0.411816,0.01477,quants_1024/GPTQ/quants_tc1024_er_fold3,9
hubert,er,5,2,3,ER_ERR,0.397046,0.397046,0.0,quants_1024/GPTQ/quants_tc1024_er_fold3,9
hubert,er,6,2,3,ER_ERR,0.397046,0.387489,-0.009557,quants_1024/GPTQ/quants_tc1024_er_fold3,9
hubert,er,7,2,3,ER_ERR,0.397046,0.390096,-0.00695,quants_1024/GPTQ/quants_tc1024_er_fold3,9
hubert,er,8,2,3,ER_ERR,0.397046,0.387489,-0.009557,quants_1024/GPTQ/quants_tc1024_er_fold3,10
hubert,er,9,2,3,ER_ERR,0.397046,0.407472,0.010426,quants_1024/GPTQ/quants_tc1024_er_fold3,10
hubert,er,10,2,3,ER_ERR,0.397046,0.40139,0.004344,quants_1024/GPTQ/quants_tc1024_er_fold3,9
hubert,er,11,2,3,ER_ERR,0.397046,0.395308,-0.001738,quants_1024/GPTQ/quants_tc1024_er_fold3,9
hubert,er,0,2,4,ER_ERR,0.368574,0.359845,-0.008729,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,1,2,4,ER_ERR,0.368574,0.369544,0.00097,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,2,2,4,ER_ERR,0.368574,0.362755,-0.00582,quants_1024/GPTQ/quants_tc1024_er_fold4,9
hubert,er,3,2,4,ER_ERR,0.368574,0.369544,0.00097,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,4,2,4,ER_ERR,0.368574,0.384093,0.015519,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,5,2,4,ER_ERR,0.368574,0.376334,0.007759,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,6,2,4,ER_ERR,0.368574,0.361785,-0.00679,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,7,2,4,ER_ERR,0.368574,0.375364,0.00679,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,8,2,4,ER_ERR,0.368574,0.381183,0.012609,quants_1024/GPTQ/quants_tc1024_er_fold4,9
hubert,er,9,2,4,ER_ERR,0.368574,0.371484,0.00291,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,10,2,4,ER_ERR,0.368574,0.382153,0.013579,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,11,2,4,ER_ERR,0.368574,0.372454,0.00388,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,0,2,5,ER_ERR,0.385173,0.388396,0.003223,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,1,2,5,ER_ERR,0.385173,0.392425,0.007252,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,2,2,5,ER_ERR,0.385173,0.39726,0.012087,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,3,2,5,ER_ERR,0.385173,0.390008,0.004835,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,4,2,5,ER_ERR,0.385173,0.414988,0.029815,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,5,2,5,ER_ERR,0.385173,0.407736,0.022562,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,6,2,5,ER_ERR,0.385173,0.387591,0.002417,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,7,2,5,ER_ERR,0.385173,0.402901,0.017728,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,8,2,5,ER_ERR,0.385173,0.393231,0.008058,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,9,2,5,ER_ERR,0.385173,0.396454,0.011281,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,10,2,5,ER_ERR,0.385173,0.390008,0.004835,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,11,2,5,ER_ERR,0.385173,0.395649,0.010475,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,asv,0,2,0,EER,0.067603,0.071527,0.003924,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,1,2,0,EER,0.067603,0.069194,0.001591,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,2,2,0,EER,0.067603,0.0728,0.005196,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,3,2,0,EER,0.067603,0.072587,0.004984,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,4,2,0,EER,0.067603,0.070838,0.003234,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,5,2,0,EER,0.067603,0.070414,0.00281,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,6,2,0,EER,0.067603,0.070838,0.003234,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,7,2,0,EER,0.067603,0.069671,0.002068,quants_1024/GPTQ/quants_tc1024_asv,68
hubert,asv,8,2,0,EER,0.067603,0.067338,-0.000265,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,9,2,0,EER,0.067603,0.067709,0.000106,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,10,2,0,EER,0.067603,0.06824,0.000636,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,11,2,0,EER,0.067603,0.067338,-0.000265,quants_1024/GPTQ/quants_tc1024_asv,68
w2v2,pr,0,2,0,PER,0.055025,0.059464,0.004438,quants_1024/GPTQ/quants_tc1024_pr,130
w2v2,pr,1,2,0,PER,0.055025,0.057429,0.002404,quants_1024/GPTQ/quants_tc1024_pr,132
w2v2,pr,2,2,0,PER,0.055025,0.057689,0.002664,quants_1024/GPTQ/quants_tc1024_pr,130
w2v2,pr,3,2,0,PER,0.055025,0.058323,0.003298,quants_1024/GPTQ/quants_tc1024_pr,133
w2v2,pr,4,2,0,PER,0.055025,0.061113,0.006088,quants_1024/GPTQ/quants_tc1024_pr,93
w2v2,pr,5,2,0,PER,0.055025,0.069388,0.014363,quants_1024/GPTQ/quants_tc1024_pr,116
w2v2,pr,6,2,0,PER,0.055025,0.101047,0.046021,quants_1024/GPTQ/quants_tc1024_pr,119
w2v2,pr,7,2,0,PER,0.055025,0.124343,0.069318,quants_1024/GPTQ/quants_tc1024_pr,126
w2v2,pr,8,2,0,PER,0.055025,0.100805,0.04578,quants_1024/GPTQ/quants_tc1024_pr,92
w2v2,pr,9,2,0,PER,0.055025,0.057099,0.002074,quants_1024/GPTQ/quants_tc1024_pr,86
w2v2,pr,10,2,0,PER,0.055025,0.055121,9.5e-05,quants_1024/GPTQ/quants_tc1024_pr,93
w2v2,pr,11,2,0,PER,0.055025,0.05485,-0.000175,quants_1024/GPTQ/quants_tc1024_pr,156
w2v2,asr,0,2,0,WER,0.097149,0.101867,0.004718,quants_1024/GPTQ/quants_tc1024_asr,268
w2v2,asr,1,2,0,WER,0.097149,0.099951,0.002801,quants_1024/GPTQ/quants_tc1024_asr,253
w2v2,asr,2,2,0,WER,0.097149,0.099895,0.002746,quants_1024/GPTQ/quants_tc1024_asr,263
w2v2,asr,3,2,0,WER,0.097149,0.10478,0.007631,quants_1024/GPTQ/quants_tc1024_asr,220
w2v2,asr,4,2,0,WER,0.097149,0.11545,0.018301,quants_1024/GPTQ/quants_tc1024_asr,67
w2v2,asr,5,2,0,WER,0.097149,0.136918,0.039768,quants_1024/GPTQ/quants_tc1024_asr,67
w2v2,asr,6,2,0,WER,0.097149,0.181028,0.083879,quants_1024/GPTQ/quants_tc1024_asr,67
w2v2,asr,7,2,0,WER,0.097149,0.176365,0.079216,quants_1024/GPTQ/quants_tc1024_asr,67
w2v2,asr,8,2,0,WER,0.097149,0.119028,0.021879,quants_1024/GPTQ/quants_tc1024_asr,66
w2v2,asr,9,2,0,WER,0.097149,0.097128,-2.2e-05,quants_1024/GPTQ/quants_tc1024_asr,66
w2v2,asr,10,2,0,WER,0.097149,0.096919,-0.00023,quants_1024/GPTQ/quants_tc1024_asr,67
w2v2,asr,11,2,0,WER,0.097149,0.097191,4.1e-05,quants_1024/GPTQ/quants_tc1024_asr,67
w2v2,ks,0,2,0,KS_ERR,0.037975,0.039922,0.001947,quants_1024/GPTQ/quants_tc1024_ks,24
w2v2,ks,1,2,0,KS_ERR,0.037975,0.045764,0.00779,quants_1024/GPTQ/quants_tc1024_ks,23
w2v2,ks,2,2,0,KS_ERR,0.037975,0.051282,0.013307,quants_1024/GPTQ/quants_tc1024_ks,23
w2v2,ks,3,2,0,KS_ERR,0.037975,0.044791,0.006816,quants_1024/GPTQ/quants_tc1024_ks,23
w2v2,ks,4,2,0,KS_ERR,0.037975,0.051931,0.013957,quants_1024/GPTQ/quants_tc1024_ks,23
w2v2,ks,5,2,0,KS_ERR,0.037975,0.040247,0.002272,quants_1024/GPTQ/quants_tc1024_ks,23
w2v2,ks,6,2,0,KS_ERR,0.037975,0.041545,0.00357,quants_1024/GPTQ/quants_tc1024_ks,23
w2v2,ks,7,2,0,KS_ERR,0.037975,0.038299,0.000325,quants_1024/GPTQ/quants_tc1024_ks,23
w2v2,ks,8,2,0,KS_ERR,0.037975,0.037975,0.0,quants_1024/GPTQ/quants_tc1024_ks,23
w2v2,ks,9,2,0,KS_ERR,0.037975,0.037975,0.0,quants_1024/GPTQ/quants_tc1024_ks,23
w2v2,ks,10,2,0,KS_ERR,0.037975,0.03765,-0.000325,quants_1024/GPTQ/quants_tc1024_ks,23
w2v2,ks,11,2,0,KS_ERR,0.037975,0.037326,-0.000649,quants_1024/GPTQ/quants_tc1024_ks,23
w2v2,ic,0,2,0,IC_ERR,0.077511,0.07672,-0.000791,quants_1024/GPTQ/quants_tc1024_ic,32
w2v2,ic,1,2,0,IC_ERR,0.077511,0.080675,0.003164,quants_1024/GPTQ/quants_tc1024_ic,32
w2v2,ic,2,2,0,IC_ERR,0.077511,0.083311,0.0058,quants_1024/GPTQ/quants_tc1024_ic,32
w2v2,ic,3,2,0,IC_ERR,0.077511,0.097548,0.020037,quants_1024/GPTQ/quants_tc1024_ic,32
w2v2,ic,4,2,0,IC_ERR,0.077511,0.097021,0.01951,quants_1024/GPTQ/quants_tc1024_ic,33
w2v2,ic,5,2,0,IC_ERR,0.077511,0.112576,0.035065,quants_1024/GPTQ/quants_tc1024_ic,32
w2v2,ic,6,2,0,IC_ERR,0.077511,0.103612,0.026101,quants_1024/GPTQ/quants_tc1024_ic,33
w2v2,ic,7,2,0,IC_ERR,0.077511,0.085684,0.008173,quants_1024/GPTQ/quants_tc1024_ic,33
w2v2,ic,8,2,0,IC_ERR,0.077511,0.074611,-0.0029,quants_1024/GPTQ/quants_tc1024_ic,33
w2v2,ic,9,2,0,IC_ERR,0.077511,0.075402,-0.002109,quants_1024/GPTQ/quants_tc1024_ic,32
w2v2,ic,10,2,0,IC_ERR,0.077511,0.075138,-0.002373,quants_1024/GPTQ/quants_tc1024_ic,32
w2v2,ic,11,2,0,IC_ERR,0.077511,0.077511,0.0,quants_1024/GPTQ/quants_tc1024_ic,33
w2v2,er,0,2,1,ER_ERR,0.4553,0.476498,0.021198,quants_1024/GPTQ/quants_tc1024_er_fold1,9
w2v2,er,1,2,1,ER_ERR,0.4553,0.458986,0.003687,quants_1024/GPTQ/quants_tc1024_er_fold1,9
w2v2,er,2,2,1,ER_ERR,0.4553,0.453456,-0.001843,quants_1024/GPTQ/quants_tc1024_er_fold1,9
w2v2,er,3,2,1,ER_ERR,0.4553,0.494009,0.03871,quants_1024/GPTQ/quants_tc1024_er_fold1,9
w2v2,er,4,2,1,ER_ERR,0.4553,0.461751,0.006452,quants_1024/GPTQ/quants_tc1024_er_fold1,9
w2v2,er,5,2,1,ER_ERR,0.4553,0.450691,-0.004608,quants_1024/GPTQ/quants_tc1024_er_fold1,9
w2v2,er,6,2,1,ER_ERR,0.4553,0.458065,0.002765,quants_1024/GPTQ/quants_tc1024_er_fold1,9
w2v2,er,7,2,1,ER_ERR,0.4553,0.460829,0.00553,quants_1024/GPTQ/quants_tc1024_er_fold1,9
w2v2,er,8,2,1,ER_ERR,0.4553,0.468203,0.012903,quants_1024/GPTQ/quants_tc1024_er_fold1,9
w2v2,er,9,2,1,ER_ERR,0.4553,0.459908,0.004608,quants_1024/GPTQ/quants_tc1024_er_fold1,9
w2v2,er,10,2,1,ER_ERR,0.4553,0.44977,-0.00553,quants_1024/GPTQ/quants_tc1024_er_fold1,9
w2v2,er,11,2,1,ER_ERR,0.4553,0.458065,0.002765,quants_1024/GPTQ/quants_tc1024_er_fold1,9
w2v2,er,0,2,2,ER_ERR,0.430108,0.458456,0.028348,quants_1024/GPTQ/quants_tc1024_er_fold2,8
w2v2,er,1,2,2,ER_ERR,0.430108,0.446725,0.016618,quants_1024/GPTQ/quants_tc1024_er_fold2,8
w2v2,er,2,2,2,ER_ERR,0.430108,0.461388,0.031281,quants_1024/GPTQ/quants_tc1024_er_fold2,8
w2v2,er,3,2,2,ER_ERR,0.430108,0.491691,0.061584,quants_1024/GPTQ/quants_tc1024_er_fold2,9
w2v2,er,4,2,2,ER_ERR,0.430108,0.454545,0.024438,quants_1024/GPTQ/quants_tc1024_er_fold2,9
w2v2,er,5,2,2,ER_ERR,0.430108,0.414467,-0.01564,quants_1024/GPTQ/quants_tc1024_er_fold2,9
w2v2,er,6,2,2,ER_ERR,0.430108,0.434995,0.004888,quants_1024/GPTQ/quants_tc1024_er_fold2,8
w2v2,er,7,2,2,ER_ERR,0.430108,0.430108,0.0,quants_1024/GPTQ/quants_tc1024_er_fold2,9
w2v2,er,8,2,2,ER_ERR,0.430108,0.449658,0.01955,quants_1024/GPTQ/quants_tc1024_er_fold2,8
w2v2,er,9,2,2,ER_ERR,0.430108,0.435973,0.005865,quants_1024/GPTQ/quants_tc1024_er_fold2,8
w2v2,er,10,2,2,ER_ERR,0.430108,0.430108,0.0,quants_1024/GPTQ/quants_tc1024_er_fold2,9
w2v2,er,11,2,2,ER_ERR,0.430108,0.42913,-0.000978,quants_1024/GPTQ/quants_tc1024_er_fold2,8
w2v2,er,0,2,3,ER_ERR,0.427454,0.439618,0.012163,quants_1024/GPTQ/quants_tc1024_er_fold3,9
w2v2,er,1,2,3,ER_ERR,0.427454,0.450043,0.022589,quants_1024/GPTQ/quants_tc1024_er_fold3,9
w2v2,er,2,2,3,ER_ERR,0.427454,0.462207,0.034752,quants_1024/GPTQ/quants_tc1024_er_fold3,9
w2v2,er,3,2,3,ER_ERR,0.427454,0.448306,0.020851,quants_1024/GPTQ/quants_tc1024_er_fold3,9
w2v2,er,4,2,3,ER_ERR,0.427454,0.460469,0.033015,quants_1024/GPTQ/quants_tc1024_er_fold3,9
w2v2,er,5,2,3,ER_ERR,0.427454,0.449175,0.02172,quants_1024/GPTQ/quants_tc1024_er_fold3,9
w2v2,er,6,2,3,ER_ERR,0.427454,0.439618,0.012163,quants_1024/GPTQ/quants_tc1024_er_fold3,9
w2v2,er,7,2,3,ER_ERR,0.427454,0.421373,-0.006082,quants_1024/GPTQ/quants_tc1024_er_fold3,9
w2v2,er,8,2,3,ER_ERR,0.427454,0.434405,0.00695,quants_1024/GPTQ/quants_tc1024_er_fold3,9
w2v2,er,9,2,3,ER_ERR,0.427454,0.436142,0.008688,quants_1024/GPTQ/quants_tc1024_er_fold3,10
w2v2,er,10,2,3,ER_ERR,0.427454,0.43093,0.003475,quants_1024/GPTQ/quants_tc1024_er_fold3,9
w2v2,er,11,2,3,ER_ERR,0.427454,0.423979,-0.003475,quants_1024/GPTQ/quants_tc1024_er_fold3,9
w2v2,er,0,2,4,ER_ERR,0.398642,0.411251,0.012609,quants_1024/GPTQ/quants_tc1024_er_fold4,8
w2v2,er,1,2,4,ER_ERR,0.398642,0.395732,-0.00291,quants_1024/GPTQ/quants_tc1024_er_fold4,8
w2v2,er,2,2,4,ER_ERR,0.398642,0.416101,0.017459,quants_1024/GPTQ/quants_tc1024_er_fold4,8
w2v2,er,3,2,4,ER_ERR,0.398642,0.42289,0.024248,quants_1024/GPTQ/quants_tc1024_er_fold4,9
w2v2,er,4,2,4,ER_ERR,0.398642,0.411251,0.012609,quants_1024/GPTQ/quants_tc1024_er_fold4,8
w2v2,er,5,2,4,ER_ERR,0.398642,0.396702,-0.00194,quants_1024/GPTQ/quants_tc1024_er_fold4,8
w2v2,er,6,2,4,ER_ERR,0.398642,0.402522,0.00388,quants_1024/GPTQ/quants_tc1024_er_fold4,8
w2v2,er,7,2,4,ER_ERR,0.398642,0.408341,0.009699,quants_1024/GPTQ/quants_tc1024_er_fold4,8
w2v2,er,8,2,4,ER_ERR,0.398642,0.403492,0.00485,quants_1024/GPTQ/quants_tc1024_er_fold4,8
w2v2,er,9,2,4,ER_ERR,0.398642,0.403492,0.00485,quants_1024/GPTQ/quants_tc1024_er_fold4,8
w2v2,er,10,2,4,ER_ERR,0.398642,0.400582,0.00194,quants_1024/GPTQ/quants_tc1024_er_fold4,8
w2v2,er,11,2,4,ER_ERR,0.398642,0.405432,0.00679,quants_1024/GPTQ/quants_tc1024_er_fold4,8
w2v2,er,0,2,5,ER_ERR,0.404512,0.410153,0.005641,quants_1024/GPTQ/quants_tc1024_er_fold5,10
w2v2,er,1,2,5,ER_ERR,0.404512,0.4166,0.012087,quants_1024/GPTQ/quants_tc1024_er_fold5,10
w2v2,er,2,2,5,ER_ERR,0.404512,0.423046,0.018533,quants_1024/GPTQ/quants_tc1024_er_fold5,10
w2v2,er,3,2,5,ER_ERR,0.404512,0.414988,0.010475,quants_1024/GPTQ/quants_tc1024_er_fold5,10
w2v2,er,4,2,5,ER_ERR,0.404512,0.420629,0.016116,quants_1024/GPTQ/quants_tc1024_er_fold5,10
w2v2,er,5,2,5,ER_ERR,0.404512,0.409347,0.004835,quants_1024/GPTQ/quants_tc1024_er_fold5,10
w2v2,er,6,2,5,ER_ERR,0.404512,0.401289,-0.003223,quants_1024/GPTQ/quants_tc1024_er_fold5,10
w2v2,er,7,2,5,ER_ERR,0.404512,0.399678,-0.004835,quants_1024/GPTQ/quants_tc1024_er_fold5,10
w2v2,er,8,2,5,ER_ERR,0.404512,0.395649,-0.008864,quants_1024/GPTQ/quants_tc1024_er_fold5,10
w2v2,er,9,2,5,ER_ERR,0.404512,0.405318,0.000806,quants_1024/GPTQ/quants_tc1024_er_fold5,10
w2v2,er,10,2,5,ER_ERR,0.404512,0.395649,-0.008864,quants_1024/GPTQ/quants_tc1024_er_fold5,10
w2v2,er,11,2,5,ER_ERR,0.404512,0.403707,-0.000806,quants_1024/GPTQ/quants_tc1024_er_fold5,10
w2v2,asv,0,2,0,EER,0.066649,0.071951,0.005302,quants_1024/GPTQ/quants_tc1024_asv,68
